profile_id,module,measurement_direction,payload_bytes,frame_count,max_frame_payload_bytes,tx_power_dbm,bit_rate_kbps,rf_profile,runs,events_detected,packets_attempted,packets_received,packets_lost,packet_loss_percent,status_ok_runs,event_duration_ms_mean,event_duration_ms_stdev,tx_mean_uA_mean,tx_peak_uA_mean,rx_mean_uA_mean,rx_peak_uA_mean,event_mean_uA_mean,event_peak_uA_mean,energy_total_uJ_mean,energy_total_uJ_stdev,energy_total_mJ_mean,energy_excess_uJ_mean,energy_per_byte_uJ,energy_excess_per_byte_uJ,effective_payload_rate_kbps,energy_cv_percent,sample_loss_percent_mean,sample_loss_percent_max
RADIO_EBYTE_E32_433T33D,Ebyte E32-433T33D UART,tx,128,3,58,24,0.3,,5,5,5,5,0,0.0,5,1635.388,0.03898717737927621,633473.3008937358,649613.361841914,0.0,0.0,633473.3008937358,649613.361841914,3418716.280587959,1084.3434838730645,3418.7162805879593,3392202.9562235638,26708.72094209343,26501.585595496592,0.6261511029798433,0.031717855325700685,0.0,0.0
RADIO_EBYTE_E32_433T33D,Ebyte E32-433T33D UART,tx,512,9,58,24,0.3,,5,5,5,5,0,0.0,5,6093.966,0.052725705305929065,635829.6684216139,652224.6642692928,0.0,0.0,635829.6684216139,652224.6642692928,12786590.511391846,15342.526781814096,12786.590511391847,12687862.413025612,24973.8095925622,24780.98127544065,0.6721402777764103,0.11998919311715747,0.0,0.0
RADIO_EBYTE_E32_433T33D,Ebyte E32-433T33D UART,tx,1024,18,58,24,0.3,,5,5,5,5,0,0.0,5,12208.356,0.08876936408447465,637289.2448257356,654836.8595773494,0.0,0.0,637289.2448257356,654836.8595773494,25674838.118818413,3858.4274009728383,25674.838118818414,25473917.42310454,25073.084100408607,24876.872483500527,0.6710158190013463,0.015028049575684755,0.00041246147003569204,0.00206230735017846
RADIO_EBYTE_E32_433T33D,Ebyte E32-433T33D UART,tx,128,3,58,24,4.8,,5,5,5,5,0,0.0,5,604.912,0.0432434966209057,633675.3126142776,649776.5627725426,0.0,0.0,633675.3126142776,649776.5627725426,1264948.7351044295,700.7836500176805,1264.9487351044295,1255200.345021955,9882.411993003356,9806.252695484023,1.692808210119819,0.05540016212276195,0.15088358823995562,0.18860448529994453
RADIO_EBYTE_E32_433T33D,Ebyte E32-433T33D UART,tx,512,9,58,24,4.8,,5,5,5,5,0,0.0,5,2254.92,0.05522680508588607,641817.4808205587,657940.0407669697,0.0,0.0,641817.4808205587,657940.0407669697,4775915.457355288,7718.296244587326,4775.915457355288,4739566.462813215,9327.959877647047,9256.965747682061,1.8164724247423412,0.16160872849414742,0.07405083150298086,0.07405083150298086
RADIO_EBYTE_E32_433T33D,Ebyte E32-433T33D UART,tx,1024,18,58,24,4.8,,5,5,5,5,0,0.0,5,4509.87,0.025495097568163694,647253.1637134408,663332.7970156736,0.0,0.0,647253.1637134408,663332.7970156736,9632791.139533428,18160.00150161611,9632.791139533429,9559871.76938204,9407.022597200614,9335.812274787148,1.8164603414289104,0.18852273695716923,0.03189459725371091,0.03986824656713864
RADIO_EBYTE_E32_433T33D,Ebyte E32-433T33D UART,tx,128,3,58,24,19.2,,5,5,5,0,5,100.0,5,197.63,5.578037289226381,622554.6582350966,643578.1837970124,0.0,0.0,622554.6582350966,643578.1837970124,406028.35355428146,11969.61283315932,406.02835355428147,402784.33645143884,3172.096512142824,3146.752628526866,5.181399585083237,2.94797462501818,0.2357894736842105,0.29473684210526313
RADIO_EBYTE_E32_433T33D,Ebyte E32-433T33D UART,tx,512,9,58,24,19.2,,5,5,5,0,5,100.0,5,725.818,8.208542501565063,629444.0308129904,650919.0568242641,0.0,0.0,629444.0308129904,650919.0568242641,1507651.0110725572,17829.674694790327,1507.6510110725571,1495707.1912433188,2944.6308810010883,2921.303107897107,5.643287986795588,1.1826128569440038,0.0,0.0
RADIO_EBYTE_E32_433T33D,Ebyte E32-433T33D UART,tx,1024,18,58,24,19.2,,5,5,5,0,5,100.0,5,1448.366,21.61054210333467,632373.8652867661,654510.317656378,0.0,0.0,632373.8652867661,654510.317656378,3022510.0779484375,46031.51528866544,3022.5100779484374,2998656.217021171,2951.669997996521,2928.3752119347373,5.656028931913618,1.522956552717596,0.08938364573954326,0.08938364573954326
RADIO_EBYTE_E32_433T33D,Ebyte E32-433T33D UART,tx,128,3,58,27,0.3,,5,5,5,5,0,0.0,5,1635.37,0.018708286933883076,719212.4605901379,736424.5904117373,0.0,0.0,719212.4605901379,736424.5904117373,3881388.97614981,2373.4595031601248,3881.38897614981,3854605.0394808995,30323.35137617039,30114.101870944527,0.6261579948268587,0.06114974607658381,0.0,0.0
