measurement_direction,payload_bytes,tx_power_dbm,bit_rate_kbps,runs,status_ok_runs,packets_received,energy_total_mJ_mean,energy_total_mJ_stdev,event_mean_mA_mean,event_peak_mA_mean,event_duration_ms_mean,sample_loss_percent_max
rx,8,10.0,1.2,5,5,5,15.559001570103055,0.10223392219385376,15.582227234301387,18.00118330582476,302.582,0.21641833323890997
rx,32,10.0,1.2,5,5,5,23.685938696462202,0.07847636472414912,15.499711977913394,19.91815795163056,463.078,0.2603455495475813
rx,64,10.0,1.2,5,5,5,42.420216664340984,0.1298853307001724,15.414079763785091,21.114589857624647,833.952,0.15063912241772667
rx,128,10.0,1.2,5,5,5,79.89346965816411,0.1122539163080955,15.361264896413221,21.86871938683725,1576.0520000000001,0.05725374166650656
rx,512,10.0,1.2,5,5,5,305.0321357945678,0.2512868177256318,15.330715648381874,23.23600031035233,6029.332,0.012531851789966164
rx,1024,10.0,1.2,5,5,5,604.8706485114916,0.2967952973804016,15.322452350650371,24.393986483619067,11962.454000000002,0.02385982204298975
rx,8,10.0,38.4,5,5,5,5.904541874961692,0.053964616382373994,15.860384852961928,19.99271103572537,112.81200000000001,0.0
rx,32,10.0,38.4,5,5,5,6.232935380735782,0.03383755801056897,15.825762470245673,22.24856645464603,119.35,0.5257142857142857
rx,64,10.0,38.4,5,5,5,7.516884117816696,0.14495703945941132,15.577866819797604,19.55168009040332,146.216,0.5257142857142857
rx,128,10.0,38.4,5,5,5,10.247323110230937,0.060573459688035236,15.203502097621964,20.37748169352102,204.248,0.18963756680414284
rx,512,10.0,38.4,5,5,5,25.296038029161554,0.077451254779862,14.594887059460907,24.13098253434545,525.2180000000001,0.0710465068800784
rx,1024,10.0,38.4,5,5,5,45.04242606991341,0.14973214879191532,14.245387675102448,24.21812339470625,958.1539999999999,0.19062019062019062
rx,8,10.0,250.0,5,5,5,5.73147803437882,0.0858621987392732,16.126993135458914,19.40515322125389,107.694,0.5257142857142857
rx,32,10.0,250.0,5,5,5,5.989537946269249,0.02805326889858876,16.09834532078249,20.451962224772103,112.74600000000001,0.5257142857142857
rx,64,10.0,250.0,5,5,5,6.780527836946921,0.05070204801995713,15.844379689148143,21.504791456113388,129.68,0.5257142857142857
rx,128,10.0,250.0,5,5,5,8.394350842870852,0.11084411087137794,15.414400012307585,21.695685898224962,165.024,0.3069926094371802
rx,512,10.0,250.0,5,5,5,18.312797678909213,0.11845923062930061,14.571072164746889,24.10220565417634,380.844,0.3715727304728752
rx,1024,10.0,250.0,5,5,5,31.694681829385576,0.18406378271364243,14.34935955890597,24.48132064516319,669.328,0.0
tx,8,-30.0,1.2,5,5,0,7.16890594238257,0.02214622153452809,11.064198316834176,18.297560758359154,196.346,0.11901110361327526
tx,32,-30.0,1.2,5,5,0,13.028990935037571,0.004953375608987133,11.072678298703776,18.06003670816147,356.57000000000005,0.18718781824353814
tx,64,-30.0,1.2,5,5,0,26.12894823060334,0.013369746655932732,10.88740395203583,18.944215208843143,727.25,0.09593108624008875
tx,128,-30.0,1.2,5,5,0,52.306862073291356,0.026226636078877156,10.785132492159281,18.95268402478794,1469.6680000000001,0.02169668040789759
tx,512,-30.0,1.2,5,5,0,209.4092630728196,0.10762703558237355,10.715606676274191,20.386654375748687,5921.956,0.0017542731169339985
tx,1024,-30.0,1.2,5,5,0,419.1348704429716,0.2891557134496565,10.711594259087171,20.089370052769137,11857.298,0.018284569452699993
tx,8,-30.0,38.4,5,5,0,0.25902995665492823,0.0025455993078076456,9.774458607666036,18.365004303979116,8.052,0.5257142857142857
