profile_id,module,payload_bytes,frame_count,max_frame_payload_bytes,tx_power_dbm,bit_rate_kbps,runs,events_detected,status_ok_runs,event_duration_ms_mean,event_duration_ms_stdev,tx_mean_uA_mean,tx_peak_uA_mean,energy_total_uJ_mean,energy_total_uJ_stdev,energy_total_mJ_mean,energy_excess_uJ_mean,energy_per_byte_uJ,energy_excess_per_byte_uJ,effective_payload_rate_kbps,energy_cv_percent,sample_loss_percent_mean,sample_loss_percent_max
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,128,2,64,-30,1.2,5,5,5,953.476,0.4924225827477735,11080.229430469679,20453.914902163167,34863.63260493259,84.51585827676983,34.86363260493259,29328.308592260153,272.37212972603584,229.12741087703245,1.0739651548649363,0.24241839407409407,0.035596785502400086,0.035596785502400086
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,512,8,64,-30,1.2,5,5,5,3814.0440000000003,0.4067308692488265,11069.673144339078,21020.60120002491,139326.72574397066,48.97184221022111,139.32672574397066,117201.55313627352,272.1225112186927,228.90928346928422,1.0739257334210093,0.035148922038269,0.022197558268590455,0.022197558268590455
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,1024,16,64,-30,1.2,5,5,5,7627.668,0.40201990000496446,11068.458556260923,21184.156182468883,278607.5410945802,210.41672678558692,278.6075410945802,234285.90282168292,272.077676850176,228.79482697429972,1.0739848666722254,0.07552441903004907,0.0036420584914593724,0.003642058491459373
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,128,2,64,-30,38.4,5,5,5,34.338,0.037013511046644,10386.592415676128,19258.566716633017,1176.958544249262,3.572255955743985,1.176958544249262,983.0242190390697,9.19498862694736,7.679876711242732,29.821189352903488,0.30351586920358303,0.0,0.0
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,512,8,64,-30,38.4,5,5,5,135.554,0.00547722557504668,10489.537548573908,19439.221786216393,4692.266091472288,5.4746944206196195,4.6922660914722885,3926.8740284444357,9.164582209906813,7.669675836805538,30.216740192100566,0.11667484993166338,0.2686727565824825,0.2686727565824825
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,1024,16,64,-30,38.4,5,5,5,270.456,0.04159326868617538,10501.659729960218,20626.905206468542,9372.781297005928,11.100960722053292,9.372781297005927,7843.50542368985,9.153106735357351,7.65967326532212,30.28958499718993,0.1184382775003981,0.1567959096719216,0.195994887089902
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,128,2,64,-30,250,5,5,5,9.056000000000001,0.39608079983760885,8531.285602814673,19039.078413557832,254.588065133511,1.555599900838759,0.254588065133511,206.91828016109585,1.9889692588555548,1.6165490637585613,113.07420494699646,0.611026247449177,0.0,0.0
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,512,8,64,-30,250,5,5,5,34.922000000000004,0.4176960617482528,8754.060945487357,20348.89869353411,1008.741065512794,3.33609694572577,1.008741065512794,823.0977573902017,1.9701973935796757,1.6076128074027376,117.2899604833629,0.33071885935662426,0.0,0.0
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,1024,16,64,-30,250,5,5,5,69.444,0.41125417931007446,8807.661447806911,20454.54827199788,2018.3514783906303,3.0653642063973674,2.0183514783906302,1649.7384650820636,1.97104636561585,1.6110727198067027,117.96555497955187,0.1518746481579904,0.10514285714285714,0.5257142857142857
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,128,2,64,0,1.2,5,5,5,953.844,0.3912543929465244,15351.077768539239,21561.232706449715,48320.34870342811,23.291836486057573,48.32034870342812,42794.461605239,377.50272424553214,334.33173129092967,1.0735508112437673,0.0482029561272705,0.035596785502400086,0.035596785502400086
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,512,8,64,0,1.2,5,5,5,3813.7039999999993,0.4666154733824961,15348.47714111321,22964.110096833763,193164.01220576972,137.2468343032827,193.16401220576972,171038.6258714222,377.273461339394,334.0598161551215,1.0740214762341285,0.07105196911994106,0.022197558268590455,0.022197558268590455
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,1024,16,64,0,1.2,5,5,5,7627.8679999999995,0.03346640106100647,15342.626143259427,23263.65028575058,386204.0389210385,217.13439016576598,386.2040389210385,341974.2456433856,377.15238175882666,333.9592242611188,1.0739567071690281,0.056222713457991645,0.0036420584914593724,0.003642058491459373
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,128,2,64,0,38.4,5,5,5,34.324,0.025099800796022653,14114.09001228318,20186.932725864746,1598.691406271891,2.5486864844040897,1.598691406271891,1404.8553673782048,12.489776611499149,10.975432557642225,29.833352756089035,0.15942329297606994,0.10514285714285714,0.5257142857142857
