profile_id,module,measurement_direction,payload_bytes,frame_count,max_frame_payload_bytes,tx_power_dbm,bit_rate_kbps,runs,events_detected,packets_attempted,packets_received,packets_lost,packet_loss_percent,status_ok_runs,event_duration_ms_mean,event_duration_ms_stdev,tx_mean_uA_mean,tx_peak_uA_mean,rx_mean_uA_mean,rx_peak_uA_mean,event_mean_uA_mean,event_peak_uA_mean,energy_total_uJ_mean,energy_total_uJ_stdev,energy_total_mJ_mean,energy_excess_uJ_mean,energy_per_byte_uJ,energy_excess_per_byte_uJ,effective_payload_rate_kbps,energy_cv_percent,sample_loss_percent_mean,sample_loss_percent_max
RADIO_CC1101_V1_433,CC1101 V1 433 MHz,tx,8,1,8,-30,1.2,5,5,5,5,0,0.0,5,195.974,0.025099800796020953,10976.156019582606,14507.332088471416,0.0,0.0,10976.156019582606,14507.332088471416,7098.431093090253,47.822579909017335,7.0984310930902526,5944.014173213991,887.3038866362816,743.0017716517489,0.3265739332768633,0.6737063342851738,0.11901110361327524,0.11901110361327526
RADIO_CC1101_V1_433,CC1101 V1 433 MHz,tx,32,1,32,-30,1.2,5,5,5,5,0,0.0,5,356.536,0.2977918736298674,10954.547573133092,13806.779697961338,0.0,0.0,10954.547573133092,13806.779697961338,12888.745041809121,62.02217576113075,12.888745041809122,10790.159357797855,402.77328255653504,337.19247993118296,0.7180200596854175,0.48121190666694297,0.18718781824353814,0.18718781824353814
RADIO_CC1101_V1_433,CC1101 V1 433 MHz,tx,64,2,32,-30,1.2,5,5,5,5,0,0.0,5,727.496,0.3378313188559692,10786.452327658222,14265.537641033932,0.0,0.0,10786.452327658222,14265.537641033932,25895.40600191049,76.41405041139276,25.89540600191049,21610.109292569854,404.6157187798514,337.65795769640397,0.7037839383309324,0.29508728461625644,0.09593108624008875,0.09593108624008875
RADIO_CC1101_V1_433,CC1101 V1 433 MHz,tx,128,4,32,-30,1.2,5,5,5,5,0,0.0,5,1469.3020000000001,0.33424541881675607,10677.347368168474,15124.151169318779,0.0,0.0,10677.347368168474,15124.151169318779,51771.23257156209,100.16247202299068,51.77123257156209,43121.306081416806,404.4627544653288,336.8852037610688,0.6969295624725209,0.1934712910003419,0.02169668040789759,0.02169668040789759
RADIO_CC1101_V1_433,CC1101 V1 433 MHz,tx,512,16,32,-30,1.2,5,5,5,5,0,0.0,5,5921.64,0.47312788968724817,10602.24957722619,15359.955344005139,0.0,0.0,10602.24957722619,15359.955344005139,207182.92185362594,213.46370670107686,207.18292185362594,172259.60331282127,404.65414424536317,336.44453772035405,0.6917002722218845,0.10303151668644207,0.0017542731169339985,0.0017542731169339985
RADIO_CC1101_V1_433,CC1101 V1 433 MHz,tx,1024,32,32,-30,1.2,5,5,5,5,0,0.0,5,11857.554,0.2665145399407035,10582.394110769714,15910.421352993644,0.0,0.0,10582.394110769714,15910.421352993644,414088.31942373636,181.30498521678754,414.0883194237364,344163.6601447075,404.38312443724254,336.0973243600659,0.690867610638754,0.043784134135707954,0.010970741671619997,0.018284569452699993
RADIO_CC1101_V1_433,CC1101 V1 433 MHz,tx,8,1,8,-30,38.4,5,5,5,5,0,0.0,5,7.706,0.28218788067526906,10127.631483500156,13364.153006518114,0.0,0.0,10127.631483500156,13364.153006518114,257.30313279233917,2.3788625404507275,0.2573031327923392,212.60189209703768,32.162891599042396,26.57523651212971,8.305216714248637,0.9245369516626245,0.21028571428571427,0.5257142857142857
RADIO_CC1101_V1_433,CC1101 V1 433 MHz,tx,32,1,32,-30,38.4,5,5,5,5,0,0.0,5,12.844,0.2933087110878234,10392.707316430711,15042.181895956319,0.0,0.0,10392.707316430711,15042.181895956319,440.3335948722209,1.1236767976631787,0.4403335948722209,365.46543385697424,13.760424839756903,11.420794808030445,19.931485518530053,0.25518761474223994,0.3154285714285714,0.5257142857142857
RADIO_CC1101_V1_433,CC1101 V1 433 MHz,tx,64,2,32,-30,38.4,5,5,5,5,0,0.0,5,40.556,0.5988989898138078,7230.278471043622,14034.713145482408,0.0,0.0,7230.278471043622,14034.713145482408,967.4976326758831,2.6536185942368955,0.9674976326758831,731.8136527403515,15.117150510560673,11.434588324067992,12.624519183351417,0.27427649480625366,0.21028571428571427,0.5257142857142857
RADIO_CC1101_V1_433,CC1101 V1 433 MHz,tx,128,4,32,-30,38.4,5,5,5,5,0,0.0,5,96.684,0.4478057614636093,6355.342811942388,14727.526492147288,0.0,0.0,6355.342811942388,14727.526492147288,2027.6913251112862,3.369363318514352,2.0276913251112862,1466.364810640221,15.841338477431924,11.455975083126727,10.591204335774275,0.16616746724649673,0.21028571428571427,0.5257142857142857
