bit_rate_kbps,tx_power_dbm,frames_transmitted,frames_received,frames_lost,frame_loss_percent,delivery_percent,requested_duration_s,frame_bytes,inter_frame_gap_ms,status,source_directory
1.2,-30.0,162,161,1,0.6172839506172839,99.38271604938272,60.0,32,15,ok,C:\Users\Alexandru\Desktop\module radio\ESP32-C3_Radio\power_profiler\loss_results\20260717_161831_radio_cc1101_v1_433_continuous_rx
38.4,-30.0,2143,2142,1,0.04666355576294914,99.95333644423705,60.0,32,15,ok,C:\Users\Alexandru\Desktop\module radio\ESP32-C3_Radio\power_profiler\continuous_results\20260717_161406_radio_cc1101_v1_433_continuous_rx
250.0,-30.0,3334,28,3306,99.16016796640672,0.8398320335932823,60.0,32,15,ok,C:\Users\Alexandru\Desktop\module radio\ESP32-C3_Radio\power_profiler\loss_results\20260717_162249_radio_cc1101_v1_433_continuous_rx
1.2,0.0,162,162,0,0.0,100.0,60.0,32,15,ok,C:\Users\Alexandru\Desktop\module radio\ESP32-C3_Radio\power_profiler\loss_results\20260717_161831_radio_cc1101_v1_433_continuous_rx
38.4,0.0,2143,2143,0,0.0,100.0,60.0,32,15,ok,C:\Users\Alexandru\Desktop\module radio\ESP32-C3_Radio\power_profiler\continuous_results\20260717_161406_radio_cc1101_v1_433_continuous_rx
250.0,0.0,3334,3334,0,0.0,100.0,60.0,32,15,ok,C:\Users\Alexandru\Desktop\module radio\ESP32-C3_Radio\power_profiler\loss_results\20260717_162249_radio_cc1101_v1_433_continuous_rx
1.2,10.0,162,162,0,0.0,100.0,60.0,32,15,ok,C:\Users\Alexandru\Desktop\module radio\ESP32-C3_Radio\power_profiler\loss_results\20260717_161831_radio_cc1101_v1_433_continuous_rx
38.4,10.0,2143,2143,0,0.0,100.0,60.0,32,15,ok,C:\Users\Alexandru\Desktop\module radio\ESP32-C3_Radio\power_profiler\continuous_results\20260717_161406_radio_cc1101_v1_433_continuous_rx
250.0,10.0,3334,3334,0,0.0,100.0,60.0,32,15,ok,C:\Users\Alexandru\Desktop\module radio\ESP32-C3_Radio\power_profiler\loss_results\20260717_162249_radio_cc1101_v1_433_continuous_rx
