profile_id,module,measurement_direction,payload_bytes,tx_power_dbm,spreading_factor,bandwidth_khz,runs,events_detected,packets_attempted,packets_received,packets_lost,packet_loss_percent,event_duration_ms_mean,event_duration_ms_stdev,event_mean_uA_mean,event_peak_uA_mean,energy_total_uJ_mean,energy_total_uJ_stdev,energy_total_mJ_mean,energy_cv_percent,sample_loss_percent_mean,sample_loss_percent_max,source_directory
RADIO_E28_SX1280,E28 direct SPI (SX1280),rx,8,13.0,5,812.5,5,5,5,5,0,0.0,2.0500000000000003,0.0,6881.346799375579,12181.401715924887,46.55231109777579,0.36697849506536356,0.04655231109777579,0.7883142349143163,0.21028571428571427,0.5257142857142857,20260719_215739_radio_e28_sx1280_rx
RADIO_E28_SX1280,E28 direct SPI (SX1280),rx,32,13.0,5,812.5,5,5,5,5,0,0.0,4.42,0.0,6841.80639714242,13234.303275801856,99.79458810871934,1.0975084966087711,0.09979458810871934,1.099767549932779,0.21028571428571427,0.5257142857142857,20260719_215802_radio_e28_sx1280_rx
RADIO_E28_SX1280,E28 direct SPI (SX1280),rx,128,13.0,5,812.5,5,5,5,5,0,0.0,13.4,0.0,6677.989488989701,13601.56215123415,295.3006952031246,1.340521986600213,0.2953006952031246,0.45395151734340683,0.0,0.0,20260719_215825_radio_e28_sx1280_rx
RADIO_E28_SX1280,E28 direct SPI (SX1280),rx,8,13.0,8,812.5,5,5,5,5,0,0.0,12.68,0.0,6538.94921073123,13287.926170697776,273.6157907738376,2.46646567155362,0.2736157907738376,0.9014339649689023,0.3154285714285714,0.5257142857142857,20260719_215847_radio_e28_sx1280_rx
RADIO_E28_SX1280,E28 direct SPI (SX1280),rx,32,13.0,8,812.5,5,5,5,5,0,0.0,24.02,0.0,6479.961574004357,13503.122446130166,513.6406341250294,3.341953466038372,0.5136406341250294,0.6506403979761618,0.3154285714285714,0.5257142857142857,20260719_215910_radio_e28_sx1280_rx
RADIO_E28_SX1280,E28 direct SPI (SX1280),rx,128,13.0,8,812.5,5,5,5,5,0,0.0,69.38999999999999,0.0,6444.878840023919,13688.75077720021,1475.793470940557,7.267196073920262,1.475793470940557,0.49242636026087794,0.0,0.0,20260719_215932_radio_e28_sx1280_rx
RADIO_E28_SX1280,E28 direct SPI (SX1280),rx,8,13.0,12,812.5,5,5,5,5,0,0.0,172.66,0.0,6286.541804951716,13982.779104054867,3581.9332165417786,6.060492094118772,3.5819332165417785,0.16919612197488004,0.07876885455977616,0.07876885455977616,20260719_215955_radio_e28_sx1280_rx
RADIO_E28_SX1280,E28 direct SPI (SX1280),rx,32,13.0,12,812.5,5,5,5,5,0,0.0,293.65000000000003,0.0,6355.654958900115,13962.447421338215,6158.915659647361,12.451888478525422,6.158915659647361,0.2021766357365312,0.015780337699226762,0.015780337699226762,20260719_220019_radio_e28_sx1280_rx
RADIO_E28_SX1280,E28 direct SPI (SX1280),rx,128,13.0,12,812.5,5,5,5,5,0,0.0,777.5999999999999,0.0,6394.267737079825,14207.789708700662,16408.202554765798,46.81635925288545,16.408202554765797,0.2853228993037238,0.1176774007809173,0.19612900130152885,20260719_220044_radio_e28_sx1280_rx
RADIO_E28_SX1280,E28 direct SPI (SX1280),tx,8,-18.0,5,812.5,5,5,5,5,0,0.0,2.606,0.1976866206904252,6934.744063248564,12489.74859459946,59.38242064349929,0.47444083838493006,0.05938242064349929,0.7989584008931236,0.3154285714285714,0.5257142857142857,20260719_214713_radio_e28_sx1280
