profile_id,measurement_direction,payload_bytes,frame_count,max_frame_payload_bytes,parameters_json,voltage_mv,ppk_mode,runs,events_detected,packets_attempted,packets_received,packets_lost,packet_loss_percent,baseline_median_uA_mean,baseline_median_uA_stdev,event_duration_ms_mean,event_duration_ms_stdev,tx_mean_uA_mean,tx_mean_uA_stdev,tx_peak_uA_mean,tx_peak_uA_stdev,rx_mean_uA_mean,rx_mean_uA_stdev,rx_peak_uA_mean,rx_peak_uA_stdev,event_mean_uA_mean,event_mean_uA_stdev,event_peak_uA_mean,event_peak_uA_stdev,charge_total_uC_mean,charge_total_uC_stdev,charge_excess_uC_mean,charge_excess_uC_stdev,energy_total_uJ_mean,energy_total_uJ_stdev,energy_excess_uJ_mean,energy_excess_uJ_stdev
RADIO_NRF24L01_PA,tx,8,1,8,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -18}",3300,ampere,10,10,10,10,0,0.0,27.11777491522481,0.07817959116213964,1.121,0.4298694892380451,7895.546118529977,839.0400308984532,33353.40696955796,924.5592922772707,,,,,7895.546118529977,839.0400308984532,33353.40696955796,924.5592922772707,8.880284841896717,3.6178829855176904,8.850664616042021,3.6068697627033512,29.304939978259164,11.939013852208378,29.207193232938664,11.902670216921058
RADIO_NRF24L01_PA,tx,16,1,16,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -18}",3300,ampere,10,10,10,10,0,0.0,26.995616396004202,0.024765293115442576,1.267,0.40694116418852383,9296.09640412885,1235.6076177227246,33388.741984690445,884.1698960127615,,,,,9296.09640412885,1235.6076177227246,33388.741984690445,884.1698960127615,11.412050450077986,2.5638729628933787,11.379170098663124,2.552981759258187,37.65976648525735,8.46078077754815,37.5512613255883,8.424839805552015
RADIO_NRF24L01_PA,tx,32,1,32,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -18}",3300,ampere,10,10,10,10,0,0.0,26.962895364070114,0.020694597660566656,1.082,0.33372643487343545,10967.989147677366,1475.2002761969952,33495.283749330956,914.3897218143038,,,,,10967.989147677366,1475.2002761969952,33495.283749330956,914.3897218143038,11.652412155394222,2.813688282423032,11.62368316467206,2.805842615885722,38.45296011280093,9.285171331996004,38.3581544434178,9.259280632422882
