spreading_factor,bandwidth_khz,effective_payload_rate_kbps,tx_power_dbm,frames_transmitted,frames_received,frames_lost,frame_loss_percent,delivery_percent,requested_duration_s,frame_bytes,inter_frame_gap_ms,status,source_directory
7,125.0,3.84,-4.0,450,351,99,22.0,78.0,60.0,64,15,ok,20260719_073958_radio_sx1278_shielded_continuous_rx
9,125.0,1.2629333333333335,-4.0,148,109,39,26.35135135135135,73.64864864864865,60.0,64,15,ok,20260719_082122_radio_sx1278_shielded_continuous_rx
12,125.0,0.1877333333333333,-4.0,22,17,5,22.727272727272727,77.27272727272728,60.0,64,15,ok,20260719_075252_radio_sx1278_shielded_continuous_rx
7,125.0,3.84,10.0,450,352,98,21.77777777777778,78.22222222222223,60.0,64,15,ok,20260719_073958_radio_sx1278_shielded_continuous_rx
9,125.0,1.2629333333333335,10.0,148,108,40,27.027027027027028,72.97297297297297,60.0,64,15,ok,20260719_082122_radio_sx1278_shielded_continuous_rx
12,125.0,0.1877333333333333,10.0,22,16,6,27.272727272727273,72.72727272727272,60.0,64,15,ok,20260719_075252_radio_sx1278_shielded_continuous_rx
7,125.0,3.8314666666666666,20.0,449,351,98,21.826280623608017,78.17371937639199,60.0,64,15,ok,20260719_073958_radio_sx1278_shielded_continuous_rx
9,125.0,1.2629333333333335,20.0,148,109,39,26.35135135135135,73.64864864864865,60.0,64,15,ok,20260719_082122_radio_sx1278_shielded_continuous_rx
12,125.0,0.1877333333333333,20.0,22,17,5,22.727272727272727,77.27272727272728,60.0,64,15,ok,20260719_075252_radio_sx1278_shielded_continuous_rx
