spreading_factor,bandwidth_khz,effective_payload_rate_kbps,tx_power_dbm,frames_transmitted,frames_received,frames_lost,frame_loss_percent,delivery_percent,requested_duration_s,frame_bytes,inter_frame_gap_ms,status,source_directory
7,125.0,3.643733333333333,-4.0,427,427,0,0.0,100.0,60.0,64,15,ok,20260719_193203_radio_ra02_sx1278_continuous_rx
9,125.0,1.1861333333333335,-4.0,139,137,2,1.4388489208633093,98.56115107913669,60.0,64,15,ok,20260719_193813_radio_ra02_sx1278_continuous_rx
12,125.0,0.17066666666666666,-4.0,20,20,0,0.0,100.0,60.0,64,15,ok,20260719_194426_radio_ra02_sx1278_continuous_rx
7,125.0,3.643733333333333,10.0,427,427,0,0.0,100.0,60.0,64,15,ok,20260719_193203_radio_ra02_sx1278_continuous_rx
9,125.0,1.1861333333333335,10.0,139,138,1,0.7194244604316546,99.28057553956835,60.0,64,15,ok,20260719_193813_radio_ra02_sx1278_continuous_rx
12,125.0,0.17066666666666666,10.0,20,20,0,0.0,100.0,60.0,64,15,ok,20260719_194426_radio_ra02_sx1278_continuous_rx
7,125.0,3.643733333333333,20.0,427,423,4,0.936768149882904,99.06323185011709,60.0,64,15,ok,20260719_193203_radio_ra02_sx1278_continuous_rx
9,125.0,1.1861333333333335,20.0,139,139,0,0.0,100.0,60.0,64,15,ok,20260719_193813_radio_ra02_sx1278_continuous_rx
12,125.0,0.17066666666666666,20.0,20,20,0,0.0,100.0,60.0,64,15,ok,20260719_194426_radio_ra02_sx1278_continuous_rx
