run_id,timestamp_utc,profile_id,module,measurement_direction,measured_port,peer_port,ppk_port,voltage_mv,tx_power_dbm,bit_rate_kbps,data_rate_kbps,spreading_factor,bandwidth_khz,air_rate,rf_profile,parameters_json,frame_bytes,content_bytes_per_frame,inter_frame_gap_ms,requested_duration_s,actual_tx_duration_ms,frames_transmitted,bytes_transmitted,frames_received,frame_loss_percent,captured_samples,active_samples,active_window_s,sample_loss_percent,baseline_mean_uA,baseline_median_uA,mean_current_uA,stdev_current_uA,peak_current_uA,mean_excess_current_uA,mean_power_mW,stdev_power_mW,peak_power_mW,mean_excess_power_mW,energy_60s_mJ,transmitter_response,status
continuous_001,2026-07-19T06:41:18+00:00,RADIO_SX1278_NAKED,SX1278-Naked,rx,COM19,COM20,COM11,3300,-4.0,,,7,125,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",64,64,15,60.0,60000,449,28736,0,100.0,6095360,6000000,60.0,0.0,11536.575521338653,11541.513131565242,11431.224733331966,434.8166601835354,13948.983142069606,0.0,37.72304161999549,1.4348949786056668,46.0316443688297,0.0,2263.3824971997296,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=449,BYTES=28736,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",no_rx_data
continuous_002,2026-07-19T06:43:19+00:00,RADIO_SX1278_NAKED,SX1278-Naked,rx,COM19,COM20,COM11,3300,10.0,,,7,125,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 10}",64,64,15,60.0,60000,450,28800,450,0.0,6094848,6000000,60.0,0.002493847415914684,11519.623309546809,11541.513131565242,11379.934098173157,771.1147670644541,13902.423451432775,0.0,37.553782523971414,2.5446787313126986,45.87799738972816,0.0,2253.2269514382847,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=450,BYTES=28800,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok
continuous_003,2026-07-19T06:45:21+00:00,RADIO_SX1278_NAKED,SX1278-Naked,rx,COM19,COM20,COM11,3300,20.0,,,7,125,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 20}",64,64,15,60.0,60001,450,28800,449,0.2222222222222222,6094848,6000000,60.0,0.002493847415914684,11522.957397889913,11541.513131565242,11392.139308471493,779.401692854607,13948.983142069606,0.0,37.59405971795593,2.572025586420203,46.0316443688297,0.0,2255.6435830773557,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=450,BYTES=28800,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok
