module_label,profile_id,band_mhz,source_run,voltage_mv,ppk_mode,rx_validation_enabled,payload_bytes,tx_power_dbm,bit_rate_kbps,runs,events_detected,packets_received,packet_success_percent,baseline_median_mA_mean,baseline_median_mA_stdev,event_duration_ms_mean,event_duration_ms_stdev,tx_mean_mA_mean,tx_mean_mA_stdev,tx_peak_mA_mean,tx_peak_mA_stdev,charge_total_uC_mean,charge_total_uC_stdev,charge_excess_uC_mean,charge_excess_uC_stdev,energy_total_uJ_mean,energy_total_uJ_stdev,energy_excess_uJ_mean,energy_excess_uJ_stdev,energy_excess_mJ_mean,energy_excess_per_payload_byte_uJ
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,8,-30.0,1.2,5,5,,,1.7923265075472106,0.001947439872789686,102.84200000000001,0.30865838721796834,10.922182055872899,0.02535433321695439,14.081573318784798,0.985144185632993,1123.2552565112303,2.7461931762527705,939.1555372219715,2.3462759036390826,3706.74234648706,9.062437481634177,3099.2132728325055,7.7427104820090555,3.0992132728325057,387.4016591040632
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,8,-30.0,1.2,5,5,5,100.0,1.7409893079970036,0.0038882689987270514,102.92,0.45782092569037763,11.046404934635039,0.0582434831776405,18.75358398536418,0.9104331372220332,1136.877982321185,3.197694373961821,958.0887536630901,2.855285403493691,3751.697341659911,10.552391434073963,3161.6928870881975,9.422441831529273,3.1616928870881975,395.2116108860247
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,32,-30.0,1.2,5,5,,,1.7914555859596804,0.0,263.25,0.2413503677229347,10.93366596620021,0.013849273734151896,13.813852875009042,1.2614817178399436,2878.285241746249,1.8800093914374354,2407.0578415209648,1.9664813854662124,9498.341297762621,6.2040309917436876,7943.290877019183,6.489388572038595,7.943290877019184,248.22783990684948
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,32,-30.0,1.2,5,5,5,100.0,1.7392504212378117,0.0,262.82399999999996,0.008944271909991024,11.07686894860747,0.009332886665509554,19.220455277985312,0.8375462417951927,2911.267031516078,2.494541059634216,2454.3012858433403,2.5117192122271663,9607.181204003056,8.231985496792587,8099.194243283021,8.288673400349559,8.099194243283021,253.0998201025944
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,64,-30.0,1.2,5,5,,,1.7914555859596804,0.0,475.418,3.503936357869523,10.922890664778334,0.013468202764987884,14.38723461306896,1.3046846613051717,5192.92761557497,36.90241620192489,4341.5982792024015,30.925250396019585,17136.661131397403,121.77797346635167,14327.274321367924,102.05332630686412,14.327274321367923,223.86366127137381
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,64,-30.0,1.2,5,5,0,0.0,1.7392504212378117,0.0,476.46000000000004,0.014142135623748234,11.077591400743948,0.004825837038718767,20.11900239349421,0.7337453377817608,5278.029200296337,2.308940560369345,4449.470065328218,2.308815073304605,17417.49636097791,7.6195038492186065,14683.251215583121,7.61908974190545,14.683251215583121,229.42580024348626
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,8,-30.0,38.4,5,5,,,1.7923265075472106,0.001947439872789686,4.692,0.24066574330386112,9.63973663744419,0.4273489727446213,14.699542251366802,1.005860999316792,45.14781980998232,0.290462553832165,36.880474883419396,0.21369275773809138,148.98780537294164,0.9585264276461493,121.705567115284,0.7051861005357021,0.12170556711528399,15.2131958894105
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,8,-30.0,38.4,5,5,0,0.0,1.7401198003474971,0.0019439907874755247,5.088,0.4455558326405343,9.092789061102867,0.6602963210639401,17.030140979184985,1.5410538633274793,46.02998305249774,0.886559165255619,37.71561302913762,0.5157278091069804,151.89894407324252,2.9256452453435453,124.46152299615414,1.7019017700530388,0.12446152299615415,15.557690374519268
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,32,-30.0,38.4,5,5,,,1.7905847929119705,0.0019471524490136838,10.04,0.2969006567860709,10.137655791344006,0.24553043995275334,13.360493772904272,0.6978244643855942,101.72432551617115,0.6842498042969212,84.04643123073173,0.42989604849794805,335.69027420336477,2.2580243541798484,277.3532230614147,1.4186569600432248,0.27735322306141474,8.66728822066921
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,32,-30.0,38.4,5,5,0,0.0,1.7392504212378117,0.0,9.906,0.3824003138074024,10.31758551173941,0.3047618248009771,18.058551990561913,0.539603467306893,102.11295892926759,0.7998004162068606,85.16638813908301,0.43466786353740566,336.97276446658304,2.6393413734826354,281.049080858974,1.434403949673445,0.28104908085897395,8.782783776842937
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,64,-30.0,38.4,5,5,,,1.7914555859596804,0.0,16.554,0.011401754250992071,10.642515437887685,0.008609769798887773,13.436331180240403,1.3904106672048056,176.17615599253205,0.12414595586447041,146.5830707573345,0.11749237574553394,581.3813147753557,0.4096816543527759,483.7241334992039,0.38772483996027335,0.4837241334992039,7.558189585925061
