profile_id,module,measurement_direction,payload_bytes,tx_power_dbm,spreading_factor,bandwidth_khz,runs,events_detected,packets_attempted,packets_received,packets_lost,packet_loss_percent,event_duration_ms_mean,event_duration_ms_stdev,event_mean_uA_mean,event_peak_uA_mean,energy_total_uJ_mean,energy_total_uJ_stdev,energy_total_mJ_mean,energy_cv_percent,sample_loss_percent_mean,sample_loss_percent_max,source_directory
RADIO_RA02_SX1278_2CAP,Ai-Thinker RA-02 (SX1278) + 2Cap,rx,8,20.0,7,125.0,5,5,5,5,0,0.0,43.26,0.0,12337.111120622323,14237.895878694893,1761.2213093578016,1.0686494256697499,1.7612213093578015,0.06067661230259666,0.3154285714285714,0.5257142857142857,20260719_202503_radio_ra02_sx1278_2cap_rx
RADIO_RA02_SX1278_2CAP,Ai-Thinker RA-02 (SX1278) + 2Cap,rx,32,20.0,7,125.0,5,5,5,5,0,0.0,79.10000000000001,0.0,12429.624011121592,14405.823337113707,3244.504755623069,3.59398220359533,3.2445047556230686,0.11077136494765742,0.3272169987159839,0.3272169987159839,20260719_202525_radio_ra02_sx1278_2cap_rx
RADIO_RA02_SX1278_2CAP,Ai-Thinker RA-02 (SX1278) + 2Cap,rx,128,20.0,7,125.0,5,5,5,5,0,0.0,222.45999999999998,0.0,12509.401181321715,14424.494510466484,9183.376576429535,13.557985174779908,9.183376576429534,0.14763616695822362,0.14599812599420367,0.14599812599420367,20260719_202547_radio_ra02_sx1278_2cap_rx
RADIO_RA02_SX1278_2CAP,Ai-Thinker RA-02 (SX1278) + 2Cap,rx,8,20.0,9,125.0,5,5,5,5,0,0.0,152.57000000000002,0.0,12479.06722851601,14405.81922432257,6282.97324728047,8.174127026862013,6.28297324728047,0.13009966309183496,0.0,0.0,20260719_202611_radio_ra02_sx1278_2cap_rx
RADIO_RA02_SX1278_2CAP,Ai-Thinker RA-02 (SX1278) + 2Cap,rx,32,20.0,9,125.0,5,5,5,5,0,0.0,275.45,0.0,12513.21720646763,14489.83230702559,11374.326742420979,10.952601515098342,11.37432674242098,0.09629230602502567,0.1212905312525269,0.12129053125252688,20260719_202633_radio_ra02_sx1278_2cap_rx
RADIO_RA02_SX1278_2CAP,Ai-Thinker RA-02 (SX1278) + 2Cap,rx,128,20.0,9,125.0,5,5,5,5,0,0.0,705.53,0.0,12529.60813586826,14527.199330477955,29172.047612727143,56.280912986504525,29.172047612727145,0.19292753711930172,0.04140206500761161,0.20701032503805805,20260719_202658_radio_ra02_sx1278_2cap_rx
RADIO_RA02_SX1278_2CAP,Ai-Thinker RA-02 (SX1278) + 2Cap,rx,8,20.0,12,125.0,5,5,5,5,0,0.0,1220.6,0.0,12499.068428518463,14564.545789974649,50345.99764870379,57.61045454345581,50.34599764870379,0.1144290653359196,0.08051842565288789,0.10064803206610987,20260719_202728_radio_ra02_sx1278_2cap_rx
RADIO_RA02_SX1278_2CAP,Ai-Thinker RA-02 (SX1278) + 2Cap,rx,32,20.0,12,125.0,5,5,5,5,0,0.0,2039.8,0.0,12505.551747673759,14545.868447435167,84179.12070118627,46.68550734094014,84.17912070118628,0.05545972320934713,0.06763090138939974,0.06763090138939974,20260719_202804_radio_ra02_sx1278_2cap_rx
RADIO_RA02_SX1278_2CAP,Ai-Thinker RA-02 (SX1278) + 2Cap,rx,128,20.0,12,125.0,5,5,5,5,0,0.0,5152.76,0.0,12514.950523279502,14657.981856165667,212805.57031250116,137.0798686439198,212.80557031250117,0.06441554534621462,0.01650441724223071,0.01650441724223071,20260719_202851_radio_ra02_sx1278_2cap_rx
RADIO_RA02_SX1278_2CAP,Ai-Thinker RA-02 (SX1278) + 2Cap,tx,8,-4.0,7,125.0,5,5,5,5,0,0.0,43.791999999999994,0.07981227975693958,11357.020779406184,13158.877032207043,1641.2412663432574,2.7944554356553284,1.6412412663432574,0.17026475588695575,0.10514285714285714,0.5257142857142857,20260719_201000_radio_ra02_sx1278_2cap
RADIO_RA02_SX1278_2CAP,Ai-Thinker RA-02 (SX1278) + 2Cap,tx,32,-4.0,7,125.0,5,5,5,5,0,0.0,79.628,0.07726577508832254,11395.959646394826,13219.852780460798,2994.5435103829923,4.561976050856933,2.9945435103829925,0.15234295427797848,0.21028571428571427,0.5257142857142857,20260719_201021_radio_ra02_sx1278_2cap
RADIO_RA02_SX1278_2CAP,Ai-Thinker RA-02 (SX1278) + 2Cap,tx,128,-4.0,7,125.0,5,5,5,5,0,0.0,223.02800000000002,0.01095445115009336,11420.966320747068,13251.681784958917,8405.744461586106,13.398490224185963,8.405744461586107,0.159396830172705,0.04704111393357795,0.04704111393357795,20260719_201042_radio_ra02_sx1278_2cap
RADIO_RA02_SX1278_2CAP,Ai-Thinker RA-02 (SX1278) + 2Cap,tx,8,-4.0,9,125.0,5,5,5,5,0,0.0,153.106,0.08173126696680315,11416.437761470319,13371.639147098755,5768.148210848228,10.381372292431333,5.768148210848228,0.17997755801258639,0.2642962022302472,0.4404936703837454,20260719_201105_radio_ra02_sx1278_2cap
RADIO_RA02_SX1278_2CAP,Ai-Thinker RA-02 (SX1278) + 2Cap,tx,32,-4.0,9,125.0,5,5,5,5,0,0.0,275.986,0.0763544366752908,11414.39215568519,13335.232178659306,10395.694919947686,26.835122945835966,10.395694919947685,0.2581368840898133,0.028203848740589677,0.028203848740589677,20260719_201126_radio_ra02_sx1278_2cap
RADIO_RA02_SX1278_2CAP,Ai-Thinker RA-02 (SX1278) + 2Cap,tx,128,-4.0,9,125.0,5,5,5,5,0,0.0,706.06,0.07842193570679178,11410.593972060497,13630.601906787193,26586.66200332588,45.717394786652186,26.58666200332588,0.17195612890754441,0.15374683021957178,0.15374683021957178,20260719_201150_radio_ra02_sx1278_2cap
RADIO_RA02_SX1278_2CAP,Ai-Thinker RA-02 (SX1278) + 2Cap,tx,8,-4.0,12,125.0,5,5,5,5,0,0.0,1221.176,0.005477225574922142,11426.221064044004,13406.00786442217,46046.30880563189,27.784335343096302,46.04630880563189,0.060339983950457324,0.06096950614700021,0.06096950614700021,20260719_201218_radio_ra02_sx1278_2cap
RADIO_RA02_SX1278_2CAP,Ai-Thinker RA-02 (SX1278) + 2Cap,tx,32,-4.0,12,125.0,5,5,5,5,0,0.0,2040.28,0.1004987562111175,11425.556510148512,13883.917839527188,76927.40570961381,57.939049363575435,76.92740570961381,0.07531652579353088,0.040560092501225886,0.040560092501225886,20260719_201254_radio_ra02_sx1278_2cap
