profile_id,module,measurement_direction,payload_bytes,frame_count,max_frame_payload_bytes,tx_power_dbm,bit_rate_kbps,rf_profile,runs,events_detected,packets_attempted,packets_received,packets_lost,packet_loss_percent,status_ok_runs,event_duration_ms_mean,event_duration_ms_stdev,tx_mean_uA_mean,tx_peak_uA_mean,rx_mean_uA_mean,rx_peak_uA_mean,event_mean_uA_mean,event_peak_uA_mean,energy_total_uJ_mean,energy_total_uJ_stdev,energy_total_mJ_mean,energy_excess_uJ_mean,energy_per_byte_uJ,energy_excess_per_byte_uJ,effective_payload_rate_kbps,energy_cv_percent,sample_loss_percent_mean,sample_loss_percent_max
RADIO_EBYTE_E32_868T20D,Ebyte E32-868T20D UART,tx,8,1,8,10,0.3,,5,5,5,5,0,0.0,5,1646.83,0.007071067811939433,52937.7376638707,71475.30031372808,0.0,0.0,52937.7376638707,71475.30031372808,287692.199961332,264.2025444656939,287.692199961332,219832.13939142376,35961.5249951665,27479.01742392797,0.03886254197458147,0.09183514342801254,0.05553218342448465,0.05553218342448465
RADIO_EBYTE_E32_868T20D,Ebyte E32-868T20D UART,tx,32,1,32,10,0.3,,5,5,5,5,0,0.0,5,3121.4,0.0,52934.37874434545,75683.72987582197,0.0,0.0,52934.37874434545,75683.72987582197,545256.9203815795,197.89751273181054,545.2569203815796,416393.08434402244,17039.27876192436,13012.283885750701,0.08201448068174537,0.03629436057286878,0.014987877452060833,0.014987877452060833
RADIO_EBYTE_E32_868T20D,Ebyte E32-868T20D UART,tx,58,1,58,10,0.3,,5,5,5,5,0,0.0,5,4923.654,0.005477225574673067,53023.84289355554,76134.37855969057,0.0,0.0,53023.84289355554,76134.37855969057,861534.4848513214,910.1231337185864,861.5344848513214,658265.7908679208,14854.042842264163,11349.410187377945,0.0942389534276779,0.10563977991846142,0.012214628471717318,0.012214628471717318
RADIO_EBYTE_E32_868T20D,Ebyte E32-868T20D UART,tx,128,3,58,10,0.3,,5,5,5,5,0,0.0,5,11657.978,0.008366600264653737,53030.10561021235,76134.44858954768,0.0,0.0,53030.10561021235,76134.44858954768,2040138.5552870177,830.8240079529958,2040.1385552870177,1558494.0342597873,15938.582463179826,12175.734642654588,0.08783684443391471,0.040723901119358585,0.0,0.0
RADIO_EBYTE_E32_868T20D,Ebyte E32-868T20D UART,tx,512,9,58,10,0.3,,5,5,5,5,0,0.0,5,43657.490000000005,0.022360679773045553,53158.00070275528,78540.93119234542,0.0,0.0,53158.00070275528,78540.93119234542,7658458.118028985,1897.173512702806,7658.458118028985,5856097.228494088,14957.926011775362,11437.689899402516,0.09382124350254674,0.02477226464471508,0.0,0.0
RADIO_EBYTE_E32_868T20D,Ebyte E32-868T20D UART,tx,1024,18,58,10,0.3,,5,5,5,5,0,0.0,5,87314.99,0.04062019202070792,53201.48969021422,79594.11966878803,0.0,0.0,53201.48969021422,79594.11966878803,15329448.882669684,5326.626032230331,15329.448882669683,11724726.991020756,14970.164924482113,11449.928702168707,0.09382123275739938,0.03474766818428946,0.0,0.0
RADIO_EBYTE_E32_868T20D,Ebyte E32-868T20D UART,tx,8,1,8,10,4.8,,5,5,5,5,0,0.0,5,63.970000000000006,0.0,53251.26572654955,75232.15329634666,0.0,0.0,53251.26572654955,75232.15329634666,11241.395446140335,13.848691117374283,11.241395446140336,8464.655901852679,1405.174430767542,1058.0819877315848,1.0004689698296076,0.12319370120663396,0.2357894736842105,0.29473684210526313
RADIO_EBYTE_E32_868T20D,Ebyte E32-868T20D UART,tx,32,1,32,10,4.8,,5,5,5,5,0,0.0,5,137.704,0.005477225575062247,53232.8587106484,73729.22652417788,0.0,0.0,53232.8587106484,73729.22652417788,24190.245354649433,25.81388050740288,24.190245354649434,18228.65126871797,755.9451673327948,569.6453521474366,1.8590600127810375,0.10671194164817092,0.2357894736842105,0.29473684210526313
RADIO_EBYTE_E32_868T20D,Ebyte E32-868T20D UART,tx,58,1,58,10,4.8,,5,5,5,5,0,0.0,5,217.574,0.005477225575031113,53242.74398416026,74631.1366531648,0.0,0.0,53242.74398416026,74631.1366531648,38227.98168888729,21.46508190294764,38.22798168888729,28801.43164455913,659.1031325670222,496.57640766481256,2.1326077564414865,0.056150183594933165,0.17684210526315786,0.29473684210526313
RADIO_EBYTE_E32_868T20D,Ebyte E32-868T20D UART,tx,128,3,58,10,4.8,,5,5,5,5,0,0.0,5,511.416,0.025099800796042467,53235.06032199752,78089.54719497719,0.0,0.0,53235.06032199752,78089.54719497719,89843.3640172705,72.09067738984218,89.8433640172705,67702.62993921996,701.9012813849258,528.9267964001559,2.0022838550221347,0.08024040303742885,0.15088358823995562,0.18860448529994453
