run_id,timestamp_utc,profile_id,module,measurement_direction,measured_port,peer_port,ppk_port,voltage_mv,tx_power_dbm,bit_rate_kbps,frame_bytes,content_bytes_per_frame,inter_frame_gap_ms,requested_duration_s,actual_tx_duration_ms,frames_transmitted,bytes_transmitted,frames_received,frame_loss_percent,captured_samples,active_samples,active_window_s,sample_loss_percent,baseline_mean_uA,baseline_median_uA,mean_current_uA,stdev_current_uA,peak_current_uA,mean_excess_current_uA,mean_power_mW,stdev_power_mW,peak_power_mW,mean_excess_power_mW,energy_60s_mJ,transmitter_response,status
continuous_001,2026-07-17T14:27:20+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),tx,COM5,,COM11,3300,-20.0,50.0,32,32,15,60.0,60009,2284,73088,,,6095360,6000000,60.0,0.0,4561.469448874763,4377.805410286983,4958.510754845328,1536.0782689261741,14403.717798240523,397.0413059705652,16.363085490989583,5.069058287456374,47.53226873419373,1.310236309702865,981.785129459375,"TXCONT=60000,ELAPSED_MS=60009,FRAMES=2284,BYTES=73088,FRAME=32,GAP_MS=15",ok
continuous_002,2026-07-17T14:28:34+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),tx,COM5,,COM11,3300,0.0,50.0,32,32,15,60.0,60000,2286,73152,,,6094848,6000000,60.0,0.002493847415914684,4534.626910115297,4358.928051574976,5418.913204200662,1721.2304404653228,15014.8218372113,884.2862940853656,17.882413573862184,5.680060453535565,49.54891206279729,2.9181447704817067,1072.944814431731,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=2286,BYTES=73152,FRAME=32,GAP_MS=15",ok
continuous_003,2026-07-17T14:29:47+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),tx,COM5,,COM11,3300,13.0,50.0,32,32,15,60.0,60000,2286,73152,,,6094848,6000000,60.0,0.002493847415914684,4556.095313378511,4373.085106560329,5949.590419914813,2324.596419839508,15606.002402318252,1393.495106536302,19.63364838571888,7.671168185470377,51.49980792765023,4.598533851569797,1178.018903143133,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=2286,BYTES=73152,FRAME=32,GAP_MS=15",ok
