profile_id,module,measurement_direction,payload_bytes,frame_count,max_frame_payload_bytes,tx_power_dbm,bit_rate_kbps,rf_profile,runs,events_detected,packets_attempted,packets_received,packets_lost,packet_loss_percent,status_ok_runs,event_duration_ms_mean,event_duration_ms_stdev,tx_mean_uA_mean,tx_peak_uA_mean,rx_mean_uA_mean,rx_peak_uA_mean,event_mean_uA_mean,event_peak_uA_mean,energy_total_uJ_mean,energy_total_uJ_stdev,energy_total_mJ_mean,energy_excess_uJ_mean,energy_per_byte_uJ,energy_excess_per_byte_uJ,effective_payload_rate_kbps,energy_cv_percent,sample_loss_percent_mean,sample_loss_percent_max
RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,8,1,8,13,2.5,SLR2K5,5,5,5,5,0,0.0,5,67.0,0.0,6987.106367592294,14023.926646927375,6987.106367592294,14023.926646927375,6987.106367592294,14023.926646927375,1544.849217874656,2.106285240549515,1.544849217874656,118.15580408121579,193.106152234332,14.769475510151974,0.9552238805970149,0.13634244793464448,0.29473684210526313,0.29473684210526313
RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,32,1,32,13,2.5,SLR2K5,5,5,5,5,0,0.0,5,143.8,0.0,6958.623832975683,14426.988786511594,6958.623832975683,14426.988786511594,6958.623832975683,14426.988786511594,3302.1453537002803,7.169362780372787,3.3021453537002805,250.3854710323961,103.19204230313376,7.8245459697623785,1.780250347705146,0.21711227134017663,0.17684210526315786,0.29473684210526313
RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,64,1,64,13,2.5,SLR2K5,5,5,5,5,0,0.0,5,246.2,0.0,6939.542750512793,14609.019913598919,6939.542750512793,14609.019913598919,6939.542750512793,14609.019913598919,5638.100903081623,10.334402639884008,5.638100903081623,414.3566090352914,88.09532661065036,6.474322016176428,2.079610073111292,0.18329580859816683,0.22314892413946302,0.22314892413946302
RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,128,2,64,13,2.5,SLR2K5,5,5,5,5,0,0.0,5,492.4,0.0,6938.256847735793,14716.238625759152,6938.256847735793,14716.238625759152,6938.256847735793,14716.238625759152,11274.112317022844,17.079549326369467,11.274112317022844,823.8917588502611,88.07900247674097,6.436654366017665,2.079610073111292,0.1514935175923426,0.13456915191194035,0.13456915191194035
RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,512,8,64,13,2.5,SLR2K5,5,5,5,5,0,0.0,5,1969.6,0.0,6909.502972228707,14971.709027195579,6909.502972228707,14971.709027195579,6909.502972228707,14971.709027195579,44909.55827853548,69.19065861777285,44.90955827853548,3203.371221340667,87.7139810127646,6.25658441668099,2.079610073111292,0.15406666480360937,0.0,0.0
RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,1024,16,64,13,2.5,SLR2K5,5,5,5,5,0,0.0,5,3939.2,0.0,6907.0457619564795,15170.621653725912,6907.0457619564795,15170.621653725912,6907.0457619564795,15170.621653725912,89787.17439614658,95.26405239996208,89.78717439614658,6422.396814132073,87.6827874962369,6.2718718888008524,2.079610073111292,0.1060998444829672,0.014725766074512375,0.014725766074512377
RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,8,1,8,13,4.8,GFSK4K8,5,5,5,5,0,0.0,5,36.33,0.0,7457.356069448177,14404.768887613138,7457.356069448177,14404.768887613138,7457.356069448177,14404.768887613138,894.0549618100725,2.0506284871336575,0.8940549618100725,61.61474921417816,111.75687022625907,7.70184365177227,1.7616295072942472,0.22936268738803556,0.29473684210526313,0.29473684210526313
RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,32,1,32,13,4.8,GFSK4K8,5,5,5,5,0,0.0,5,76.33,0.0,7414.175075115816,14482.90822221853,7414.175075115816,14482.90822221853,7414.175075115816,14482.90822221853,1867.5491454958478,6.015371301788013,1.8675491454958477,128.30447202069357,58.360910796745245,4.009514750646674,3.3538582470850256,0.32209975926448187,0.2357894736842105,0.29473684210526313
RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,64,1,64,13,4.8,GFSK4K8,5,5,5,5,0,0.0,5,129.66,0.0,7416.125320537164,14534.224613230885,7416.125320537164,14534.224613230885,7416.125320537164,14534.224613230885,3173.1968699008003,6.368748613255968,3.1731968699008,213.9927605875494,49.581201092200004,3.3436368841804596,3.948789140829863,0.20070449059326928,0.2357894736842105,0.29473684210526313
RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,128,2,64,13,4.8,GFSK4K8,5,5,5,5,0,0.0,5,259.33,0.0,7411.101892677956,14930.091162627059,7411.101892677956,14930.091162627059,7411.101892677956,14930.091162627059,6342.339477632976,13.830205534313999,6.342339477632976,434.33996966678677,49.549527169007625,3.3932810130217717,3.9486368719392284,0.21806157779929447,0.0,0.0
