slug,code,label,direction,payload_bytes,mode,rate_kbps,power_dbm,energy_mJ,energy_per_bit_uJ,duration_ms,runs,packets_received
ebyte_e22_400m30s,E22,Ebyte E22-400M30S,rx,8,SF7,5.46875,18.0,0.672402475958831,10.506288686856733,36.089999999999996,5,5
ebyte_e22_400m30s,E22,Ebyte E22-400M30S,tx,32,SF7,5.46875,18.0,17.741933400430188,69.30442734543043,95.19800000000001,5,5
ebyte_e22_400m30s,E22,Ebyte E22-400M30S,rx,32,SF7,5.46875,18.0,1.3266689910121763,5.182300746141314,71.92999999999999,5,5
ebyte_e22_400m30s,E22,Ebyte E22-400M30S,tx,128,SF7,5.46875,18.0,51.664107797818666,50.45323027130729,267.26599999999996,5,5
ebyte_e22_400m30s,E22,Ebyte E22-400M30S,rx,128,SF7,5.46875,18.0,3.978333835144521,3.8850916358833216,215.29000000000002,5,5
ebyte_e32_433t20d,E32-43-20,Ebyte E32-433T20D,tx,8,19.2 kbps,19.2,20.0,7.911204019384006,123.61256280287509,23.884,5,5
ebyte_e32_433t20d,E32-43-20,Ebyte E32-433T20D,rx,8,19.2 kbps,19.2,20.0,1.925685912484026,30.088842382562905,40.0,5,5
ebyte_e32_433t20d,E32-43-20,Ebyte E32-433T20D,tx,32,19.2 kbps,19.2,20.0,17.686322630549032,69.08719777558215,53.06,5,5
ebyte_e32_433t20d,E32-43-20,Ebyte E32-433T20D,rx,32,19.2 kbps,19.2,20.0,3.0805547032602676,12.03341680961042,64.0,5,5
ebyte_e32_433t20d,E32-43-20,Ebyte E32-433T20D,tx,58,19.2 kbps,19.2,20.0,28.469074487834053,61.35576398240097,85.31800000000001,5,5
ebyte_e32_433t20d,E32-43-20,Ebyte E32-433T20D,rx,58,19.2 kbps,19.2,20.0,4.327239175956622,9.325946499906514,90.0,5,5
ebyte_e32_433t20d,E32-43-20,Ebyte E32-433T20D,tx,128,19.2 kbps,19.2,20.0,66.31842626627886,64.76408815066296,199.108,5,5
ebyte_e32_433t20d,E32-43-20,Ebyte E32-433T20D,rx,128,19.2 kbps,19.2,20.0,10.804959315562503,10.551718081604006,224.0,5,5
