profile,rate_kbps,tx_energy_mJ,energy_per_bit_uJ,duration_ms,packet_delivery
SLR2K5,2.5,4.149617610381888,16.20944379055425,143.8,100.0
GFSK4K8,4.8,2.399376271333767,9.372563559897529,76.33,100.0
OOK4K8,4.8,1.7632621924665974,6.887742939322647,76.33,100.0
SLR5,5.0,2.1760468125849792,8.500182861660075,73.4,100.0
GFSK50,50.0,0.2703726546838944,1.0561431823589624,10.040000000000001,100.0
IEEE154G50,50.0,0.28255427398090477,1.1037276327379093,10.36,100.0
GFSK200,200.0,0.10788161045307065,0.4214125408323072,4.760000000000001,100.0
