profile_id,module,measurement_direction,payload_bytes,frame_count,max_frame_payload_bytes,tx_power_dbm,bit_rate_kbps,rf_profile,runs,events_detected,packets_attempted,packets_received,packets_lost,packet_loss_percent,status_ok_runs,event_duration_ms_mean,event_duration_ms_stdev,tx_mean_uA_mean,tx_peak_uA_mean,rx_mean_uA_mean,rx_peak_uA_mean,event_mean_uA_mean,event_peak_uA_mean,energy_total_uJ_mean,energy_total_uJ_stdev,energy_total_mJ_mean,energy_excess_uJ_mean,energy_per_byte_uJ,energy_excess_per_byte_uJ,effective_payload_rate_kbps,energy_cv_percent,sample_loss_percent_mean,sample_loss_percent_max
RADIO_NRF24L01,nRF24L01,tx,8,1,8,-18,250.0,,5,5,5,5,0,0.0,5,0.8560000000000001,0.04827007354458866,8751.545953574745,29506.84771083046,0.0,0.0,8751.545953574745,29506.84771083046,24.66924082272605,0.5813992844720679,0.02466924082272605,24.598400082860667,3.083655102840756,3.0748000103575834,74.7663551401869,2.3567781783396646,0.0,0.0
RADIO_NRF24L01,nRF24L01,tx,16,1,16,-18,250.0,,5,5,5,5,0,0.0,5,1.1400000000000001,0.038729833462074176,8993.707563495052,30065.750870869124,0.0,0.0,8993.707563495052,30065.750870869124,33.80591303411647,0.30189349357706063,0.033805913034116473,33.7106212101977,2.1128695646322795,2.1069138256373563,112.28070175438596,0.89301978997696,0.0,0.0
RADIO_NRF24L01,nRF24L01,tx,32,1,32,-18,250.0,,5,5,5,5,0,0.0,5,1.73,0.10295630140987,8928.260776925415,29387.022818722784,0.0,0.0,8928.260776925415,29387.022818722784,50.843539969015765,0.553858952788272,0.050843539969015764,50.69778550386174,1.5888606240317427,1.5843057969956793,147.97687861271677,1.0893398711533375,0.036155904259165525,0.036155904259165525
RADIO_NRF24L01,nRF24L01,tx,8,1,8,-18,1000.0,,5,5,5,5,0,0.0,5,0.508,0.06760177512462229,6379.099161584486,29586.40811813152,0.0,0.0,6379.099161584486,29586.40811813152,10.55153589679883,0.44265109633313177,0.01055153589679883,10.512561506702891,1.3189419870998538,1.3140701883378614,125.98425196850394,4.195134250241476,0.1341697791637959,0.6708488958189796
RADIO_NRF24L01,nRF24L01,tx,16,1,16,-18,1000.0,,5,5,5,5,0,0.0,5,0.588,0.0438178046004133,6474.017697088533,29517.169339181342,0.0,0.0,6474.017697088533,29517.169339181342,12.497313336018085,0.41305204329667017,0.012497313336018084,12.451407905848694,0.7810820835011303,0.7782129941155433,217.687074829932,3.3051267275681315,0.13741094574261734,0.6870547287130867
RADIO_NRF24L01,nRF24L01,tx,32,1,32,-18,1000.0,,5,5,5,5,0,0.0,5,0.6759999999999999,0.058991524815010465,7798.089334388901,29975.50279680621,0.0,0.0,7798.089334388901,29975.50279680621,17.305622178041965,0.20287206194583868,0.017305622178041966,17.250996224101286,0.5408006930638114,0.5390936320031652,378.69822485207106,1.1722899058968854,0.14353026458861906,0.7176513229430953
RADIO_NRF24L01,nRF24L01,tx,8,1,8,-18,2000.0,,5,5,5,5,0,0.0,5,0.532,0.05403702434442522,4799.689152841811,27125.143578387768,0.0,0.0,4799.689152841811,27125.143578387768,8.34759749656607,0.3168281533906849,0.008347597496566071,8.30642521866373,1.0434496870707588,1.0383031523329662,120.30075187969925,3.7954411855748633,0.3917017263890904,0.652836210648484
RADIO_NRF24L01,nRF24L01,tx,16,1,16,-18,2000.0,,5,5,5,5,0,0.0,5,0.53,0.07141428428542848,5446.877301139288,30447.108810420963,0.0,0.0,5446.877301139288,30447.108810420963,9.402353493815225,0.4777251368418679,0.009402353493815225,9.361557752347414,0.5876470933634516,0.5850973595217134,241.50943396226413,5.0809101907954295,0.1323686739560101,0.6618433697800504
RADIO_NRF24L01,nRF24L01,tx,32,1,32,-18,2000.0,,5,5,5,5,0,0.0,5,0.576,0.04774934554525328,6008.617307527004,29916.7501578523,0.0,0.0,6008.617307527004,29916.7501578523,11.371120456029946,0.35128445898861926,0.011371120456029945,11.323614340656652,0.3553475142509358,0.3538629481455204,444.44444444444446,3.089268646365786,0.1352502855485251,0.6762514277426256
RADIO_NRF24L01,nRF24L01,tx,8,1,8,-6,250.0,,5,5,5,1,4,80.0,5,0.998,0.06260990336999417,11117.539105082147,32740.763475061074,0.0,0.0,11117.539105082147,32740.763475061074,36.49907477158486,0.5003470444558071,0.03649907477158486,36.41738299553704,4.562384346448107,4.55217287444213,64.12825651302605,1.3708485696884998,0.0,0.0
