module,measurement_direction,payload_bytes,tx_power_dbm,bit_rate_kbps,rf_profile,runs,status_ok_runs,packets_received,energy_total_mJ_mean,energy_total_uJ_stdev,event_mean_uA_mean,event_peak_uA_mean,event_duration_ms_mean,sample_loss_percent_max
nRF24L01,rx,8,0,250.0,,5,5,5,0.07196744741905146,0.1692939444036937,13890.64802529463,14723.451262041077,1.57,0.0
nRF24L01,rx,16,0,250.0,,5,5,4,0.08388654697138771,0.2230729317102581,13890.800955685994,14751.428204334521,1.83,0.0
nRF24L01,rx,32,0,250.0,,5,5,4,0.10728364382300876,0.1964817482339957,13893.245768325403,14816.932568934575,2.34,0.1028495371770827
nRF24L01,rx,8,0,1000.0,,5,5,5,0.05429930704888293,0.045920032334728675,14433.62760470041,15256.888598373835,1.14,0.6337750553416017
nRF24L01,rx,16,0,1000.0,,5,5,4,0.05705577919723201,0.06258421762429202,14408.02504980606,15275.605012429092,1.2,0.0
nRF24L01,rx,32,0,1000.0,,5,5,4,0.06324413155504749,0.10059861139338964,14409.690488732627,15163.18108796794,1.33,0.0
nRF24L01,rx,8,0,2000.0,,5,5,5,0.052421809251978556,0.12210561238657386,14846.16518039608,15688.349078725922,1.07,0.6187067815115855
nRF24L01,rx,16,0,2000.0,,5,5,5,0.053866710780867334,0.1194386514585711,14839.314264701747,15631.983915025583,1.1,0.0
nRF24L01,rx,32,0,2000.0,,5,5,5,0.05673665871286919,0.04619099308676233,14821.488691972098,15575.694837961239,1.16,0.0
nRF24L01,tx,8,-18,250.0,,5,5,5,0.02466924082272605,0.5813992844720679,8751.545953574745,29506.84771083046,0.8560000000000001,0.0
nRF24L01,tx,16,-18,250.0,,5,5,5,0.033805913034116473,0.30189349357706063,8993.707563495052,30065.750870869124,1.1400000000000001,0.0
nRF24L01,tx,32,-18,250.0,,5,5,5,0.050843539969015764,0.553858952788272,8928.260776925415,29387.022818722784,1.73,0.036155904259165525
nRF24L01,tx,8,-18,1000.0,,5,5,5,0.01055153589679883,0.44265109633313177,6379.099161584486,29586.40811813152,0.508,0.6708488958189796
nRF24L01,tx,16,-18,1000.0,,5,5,5,0.012497313336018084,0.41305204329667017,6474.017697088533,29517.169339181342,0.588,0.6870547287130867
nRF24L01,tx,32,-18,1000.0,,5,5,5,0.017305622178041966,0.20287206194583868,7798.089334388901,29975.50279680621,0.6759999999999999,0.7176513229430953
nRF24L01,tx,8,-18,2000.0,,5,5,5,0.008347597496566071,0.3168281533906849,4799.689152841811,27125.143578387768,0.532,0.652836210648484
nRF24L01,tx,16,-18,2000.0,,5,5,5,0.009402353493815225,0.4777251368418679,5446.877301139288,30447.108810420963,0.53,0.6618433697800504
nRF24L01,tx,32,-18,2000.0,,5,5,5,0.011371120456029945,0.35128445898861926,6008.617307527004,29916.7501578523,0.576,0.6762514277426256
nRF24L01,tx,8,-6,250.0,,5,5,1,0.03649907477158486,0.5003470444558071,11117.539105082147,32740.763475061074,0.998,0.0
nRF24L01,tx,16,-6,250.0,,5,5,2,0.050301706695716056,0.3925454190174559,12432.213898499806,32932.09123763846,1.2280000000000002,0.0
nRF24L01,tx,32,-6,250.0,,5,5,0,0.07737814647938972,0.4923893467679298,13433.912929882626,32175.051589299263,1.746,0.036155904259165525
nRF24L01,tx,8,-6,1000.0,,5,5,5,0.01439674252708062,0.4164472980854152,7549.555322635117,32801.36481362994,0.588,0.6708488958189796
nRF24L01,tx,16,-6,1000.0,,5,5,3,0.017606015116329796,0.3829025906348718,8201.2389862522,32781.16985116183,0.652,0.6870547287130867
nRF24L01,tx,32,-6,1000.0,,5,5,3,0.0244682161968043,0.41280369747739204,10103.379711281492,32922.88623208059,0.736,0.0
nRF24L01,tx,8,-6,2000.0,,5,5,5,0.010343387841088366,0.2703668735925558,5228.697689604941,32366.76801063885,0.602,0.652836210648484
nRF24L01,tx,16,-6,2000.0,,5,5,5,0.012204878412060964,0.5843740954397945,7016.3673127133225,32741.42974722486,0.54,0.6618433697800504
nRF24L01,tx,32,-6,2000.0,,5,5,5,0.015647823217863673,0.6864451553484266,7418.791976260787,32992.75426807434,0.6599999999999999,0.6762514277426256
nRF24L01,tx,8,0,250.0,,5,5,2,0.04662665008150778,0.3247161178672262,14284.544069938802,34790.06216443023,0.994,0.0
nRF24L01,tx,16,0,250.0,,5,5,1,0.06448627496115344,0.5992028958910953,15516.998916004412,34893.383324113005,1.262,0.0
nRF24L01,tx,32,0,250.0,,5,5,0,0.10027665904990637,0.3719478733145328,16857.047433779015,35433.96226265088,1.8039999999999998,0.036155904259165525
nRF24L01,tx,8,0,1000.0,,5,5,4,0.01753675677927735,0.2418395981984184,8653.032906277125,35351.81079693509,0.62,0.6708488958189796
nRF24L01,tx,16,0,1000.0,,5,5,2,0.022022742391225744,0.38651879219347035,9732.231045227312,35525.50586592116,0.6900000000000001,0.6870547287130867
nRF24L01,tx,32,0,1000.0,,5,5,3,0.031147127858797728,0.264307783129016,12064.967923386765,36047.00852117951,0.784,0.7176513229430953
nRF24L01,tx,8,0,2000.0,,5,5,5,0.0125237677838869,0.6020433303546866,7258.449037790253,35628.31703950325,0.53,0.652836210648484
nRF24L01,tx,16,0,2000.0,,5,5,5,0.014973818747710175,0.5838395762631323,7798.01007773812,36190.71549300736,0.584,0.6618433697800504
nRF24L01,tx,32,0,2000.0,,5,5,5,0.018730893791701744,0.20897571361592757,9186.44888266295,34699.0182652828,0.62,0.6762514277426256
