run_id,timestamp_utc,profile_id,module,firmware_selection,measurement_direction,measured_port,peer_port,transmitter_port,repetition,payload_bytes,frame_count,max_frame_payload_bytes,serial_content_bytes,parameters_json,ppk_mode,voltage_mv,estimated_airtime_ms,estimated_event_ms,captured_samples,sample_loss_percent,event_detected,baseline_median_uA,threshold_uA,event_start_ms,event_duration_ms,tx_mean_uA,tx_peak_uA,rx_mean_uA,rx_peak_uA,event_mean_uA,event_peak_uA,charge_total_uC,charge_excess_uC,energy_total_uJ,energy_excess_uJ,radio_response,transmitter_response,receiver_port,receiver_response,packet_received,packet_lost,status
run_00011,2026-07-19T03:42:09+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,11,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4443.957145865853,5172.5754498531005,27.67,15.48,5847.299846230323,13145.28224321374,,,5847.299846230323,13145.28224321374,90.5162016196454,24.765527617379558,298.7034653448298,81.72624113735253,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00012,2026-07-19T03:42:13+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,12,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4448.687090079035,5122.49274615345,28.07,15.48,5681.068932787061,12809.822788098698,,,5681.068932787061,12809.822788098698,87.94294707954371,21.952068787681856,290.21172536249424,72.44182699935013,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00013,2026-07-19T03:42:17+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,13,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4443.957145865853,5117.671326834156,27.67,15.48,5929.0150319741615,12878.731150211182,,,5929.0150319741615,12878.731150211182,91.78115269496001,26.277229380754495,302.877803893368,86.71485695648983,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00014,2026-07-19T03:42:21+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,14,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4448.687090079035,5177.404492097873,27.56,15.48,5622.829021592263,12712.152706787123,,,5622.829021592263,12712.152706787123,87.04139325424823,20.862384336712353,287.23659773901915,68.84586831115077,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00015,2026-07-19T03:42:25+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,15,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4443.957145865853,5117.671326834156,27.67,15.48,5684.079616752397,12866.686979977834,,,5684.079616752397,12866.686979977834,87.9895524673271,21.821756905133746,290.3655231421794,72.01179778694136,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00016,2026-07-19T03:42:29+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,16,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4439.227844351771,5112.850550213963,26.94,15.48,5668.193677930448,12816.97272158801,,,5668.193677930448,12816.97272158801,87.74363813436334,21.663405188531318,289.554005843399,71.48923712215334,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00017,2026-07-19T03:42:33+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,17,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4443.957145865853,5117.671326834156,27.99,15.48,5632.6481277366875,12806.686625138753,,,5632.6481277366875,12806.686625138753,87.19339301736392,21.173463312670663,287.7381969573009,69.87242893181319,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00018,2026-07-19T03:42:37+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,18,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4443.957145865853,5116.573625560975,28.12,15.48,5697.231708685822,12673.891791134845,,,5697.231708685822,12673.891791134845,88.19314685045651,22.383560037258835,291.03738460650646,73.86574812295416,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00019,2026-07-19T03:42:41+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,19,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4443.957145865853,5116.573625560975,29.09,15.48,5628.272865950059,12556.316682552684,,,5628.272865950059,12556.316682552684,87.1256639649069,20.956827412262093,287.51469108419275,69.1575304604649,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00020,2026-07-19T03:42:44+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,20,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4443.957145865853,5172.5754498531005,28.09,15.48,5690.2827021248895,12937.925275023563,,,5690.2827021248895,12937.925275023563,88.08557622889329,21.979932156099878,290.68240155534784,72.5337761151296,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
