profile_id,module,measurement_direction,payload_bytes,frame_count,max_frame_payload_bytes,tx_power_dbm,bit_rate_kbps,rf_profile,runs,events_detected,packets_attempted,packets_received,packets_lost,packet_loss_percent,status_ok_runs,event_duration_ms_mean,event_duration_ms_stdev,tx_mean_uA_mean,tx_peak_uA_mean,rx_mean_uA_mean,rx_peak_uA_mean,event_mean_uA_mean,event_peak_uA_mean,energy_total_uJ_mean,energy_total_uJ_stdev,energy_total_mJ_mean,energy_excess_uJ_mean,energy_per_byte_uJ,energy_excess_per_byte_uJ,effective_payload_rate_kbps,energy_cv_percent,sample_loss_percent_mean,sample_loss_percent_max
RADIO_NRF24L01_PA,nRF24L01+PA,tx,8,1,8,-18,250.0,,5,5,5,5,0,0.0,5,1.206,0.021908902300206597,17548.42624585126,33489.042299284934,0.0,0.0,17548.42624585126,33489.042299284934,69.8373524494867,1.4350999381640375,0.0698373524494867,69.73671952400191,8.729669056185838,8.717089940500239,53.06799336650083,2.0549174443605147,0.0,0.0
RADIO_NRF24L01_PA,nRF24L01+PA,tx,16,1,16,-18,250.0,,5,5,5,5,0,0.0,5,1.428,0.030331501776206228,19929.6329281294,33438.3266332067,0.0,0.0,19929.6329281294,33438.3266332067,93.88722404858319,0.4948251319275296,0.0938872240485832,93.76546658034204,5.8679515030364495,5.860341661271377,89.6358543417367,0.5270420304167005,0.0,0.0
RADIO_NRF24L01_PA,nRF24L01+PA,tx,32,1,32,-18,250.0,,5,5,5,5,0,0.0,5,1.95,0.04062019202317984,22515.295902247002,33377.330466688916,0.0,0.0,22515.295902247002,33377.330466688916,144.8395589330026,0.5481433437092007,0.1448395589330026,144.6715499328628,4.526236216656331,4.520985935401963,131.2820512820513,0.37844864189537575,0.036155904259165525,0.036155904259165525
RADIO_NRF24L01_PA,nRF24L01+PA,tx,8,1,8,-18,1000.0,,5,5,5,5,0,0.0,5,1.35,0.34300145772284996,10114.60220270917,33856.100962459954,0.0,0.0,10114.60220270917,33856.100962459954,43.78974306724299,5.189936260597761,0.04378974306724299,43.67466622258623,5.4737178834053735,5.459333277823279,47.407407407407405,11.851944992296847,0.4025093374913878,0.6708488958189796
RADIO_NRF24L01_PA,nRF24L01+PA,tx,16,1,16,-18,1000.0,,5,5,5,5,0,0.0,5,0.992,0.13845576911057192,12380.812692858704,33955.9961671277,0.0,0.0,12380.812692858704,33955.9961671277,40.8023351601217,8.427246536662647,0.0408023351601217,40.720486166810375,2.5501459475076063,2.5450303854256484,129.03225806451613,20.65383391316055,0.27482189148523467,0.6870547287130867
RADIO_NRF24L01_PA,nRF24L01+PA,tx,32,1,32,-18,1000.0,,5,5,5,5,0,0.0,5,0.958,0.04658325879540851,15241.112845908148,33813.75334894372,0.0,0.0,15241.112845908148,33813.75334894372,48.206969517151975,4.160353696914422,0.048206969517151976,48.123752884941716,1.5064677974109992,1.5038672776544286,267.22338204592904,8.630191315872228,0.14353026458861906,0.7176513229430953
RADIO_NRF24L01_PA,nRF24L01+PA,tx,8,1,8,-18,2000.0,,5,5,5,5,0,0.0,5,1.262,0.31083757816583246,8229.948427577856,33307.11284344874,0.0,0.0,8229.948427577856,33307.11284344874,34.37936576132559,9.200999473730839,0.03437936576132559,34.26861136727261,4.297420720165698,4.2835764209090765,50.71315372424723,26.76314489804035,0.26113448425939356,0.652836210648484
RADIO_NRF24L01_PA,nRF24L01+PA,tx,16,1,16,-18,2000.0,,5,5,5,5,0,0.0,5,0.9959999999999999,0.3676683287964847,8480.880519961194,33235.99657534567,0.0,0.0,8480.880519961194,33235.99657534567,27.65157880735178,9.692980344072206,0.02765157880735178,27.567901842183954,1.7282236754594862,1.722993865136497,128.5140562248996,35.053985204979014,0.3971060218680303,0.6618433697800504
RADIO_NRF24L01_PA,nRF24L01+PA,tx,32,1,32,-18,2000.0,,5,5,5,5,0,0.0,5,0.906,0.1006479011206891,11385.668973598278,32982.83980604578,0.0,0.0,11385.668973598278,32982.83980604578,34.194699700084925,6.098083350527919,0.03419469970008492,34.11896916657916,1.068584365627654,1.0662177864555988,282.56070640176597,17.83341688628069,0.0,0.0
RADIO_NRF24L01_PA,nRF24L01+PA,tx,8,1,8,-6,250.0,,5,5,5,3,2,40.0,5,1.1400000000000001,0.0484767985741633,44203.10793862388,96918.7187539416,0.0,0.0,44203.10793862388,96918.7187539416,166.06483521134263,2.6690162882224957,0.16606483521134263,165.9684353747521,20.758104401417828,20.74605442184401,56.14035087719298,1.6072134024194638,0.0,0.0
