bit_rate_kbps,rf_profile,tx_power_dbm,frames_transmitted,frames_received,frames_lost,frame_loss_percent,delivery_percent,requested_duration_s,frame_bytes,inter_frame_gap_ms,status,source_directory
250.0,,-18.0,3365,3360,5,0.1485884101040119,99.85141158989599,60.0,32,15,ok,20260720_070234_radio_nrf24l01_pa_continuous_rx
1000.0,,-18.0,3568,3568,0,0.0,100.0,60.0,32,15,ok,20260720_070835_radio_nrf24l01_pa_continuous_rx
2000.0,,-18.0,3602,3602,0,0.0,100.0,60.0,32,15,ok,20260720_071430_radio_nrf24l01_pa_continuous_rx
250.0,,-6.0,3366,0,3366,100.0,0.0,60.0,32,15,no_rx_data,20260720_070234_radio_nrf24l01_pa_continuous_rx
1000.0,,-6.0,3566,1922,1644,46.102075154234434,53.897924845765566,60.0,32,15,ok,20260720_070835_radio_nrf24l01_pa_continuous_rx
2000.0,,-6.0,3603,2661,942,26.14487926727727,73.85512073272272,60.0,32,15,ok,20260720_071430_radio_nrf24l01_pa_continuous_rx
250.0,,0.0,3366,0,3366,100.0,0.0,60.0,32,15,no_rx_data,20260720_070234_radio_nrf24l01_pa_continuous_rx
1000.0,,0.0,3567,1872,1695,47.51892346509672,52.48107653490328,60.0,32,15,ok,20260720_070835_radio_nrf24l01_pa_continuous_rx
2000.0,,0.0,3601,2659,942,26.159400166620383,73.84059983337961,60.0,32,15,ok,20260720_071430_radio_nrf24l01_pa_continuous_rx
