bit_rate_kbps,rf_profile,tx_power_dbm,frames_transmitted,frames_received,frames_lost,frame_loss_percent,delivery_percent,requested_duration_s,frame_bytes,inter_frame_gap_ms,status,source_directory
0.5,,-1.0,20,20,0,0.0,100.0,60.0,60,2100,ok,20260720_002624_radio_hc12_continuous_rx
15.0,,-1.0,394,394,0,0.0,100.0,60.0,60,100,ok,20260720_000921_radio_hc12_continuous_rx
250.0,,-1.0,490,490,0,0.0,100.0,60.0,60,100,ok,20260720_005134_radio_hc12_continuous_rx
0.5,,8.0,20,20,0,0.0,100.0,60.0,60,2100,ok,20260720_002624_radio_hc12_continuous_rx
15.0,,8.0,394,394,0,0.0,100.0,60.0,60,100,ok,20260720_000921_radio_hc12_continuous_rx
250.0,,8.0,491,491,0,0.0,100.0,60.0,60,100,ok,20260720_005134_radio_hc12_continuous_rx
0.5,,20.0,20,20,0,0.0,100.0,60.0,60,2100,ok,20260720_002624_radio_hc12_continuous_rx
15.0,,20.0,394,394,0,0.0,100.0,60.0,60,100,ok,20260720_000921_radio_hc12_continuous_rx
250.0,,20.0,490,490,0,0.0,100.0,60.0,60,100,ok,20260720_005134_radio_hc12_continuous_rx
