measurement_direction,payload_bytes,tx_power_dbm,spreading_factor,bandwidth_khz,classic_energy_mJ,variant_energy_mJ,energy_delta_percent,classic_energy_cv_percent,variant_energy_cv_percent,classic_packets_received,variant_packets_received
rx,8,20.0,7,125.0,1.7565743175416166,1.7612213093578015,0.26454854598401134,0.12962068589291367,0.06067661230259666,5,5
rx,8,20.0,9,125.0,6.273166523289355,6.28297324728047,0.1563281311711906,0.1341902617497858,0.13009966309183496,5,5
rx,8,20.0,12,125.0,50.20654850857106,50.34599764870379,0.27775089958419485,0.10462035138157301,0.1144290653359196,5,5
rx,32,20.0,7,125.0,3.238492633707236,3.2445047556230686,0.1856456875416912,0.10673857783130396,0.11077136494765742,5,5
rx,32,20.0,9,125.0,11.351634779548581,11.37432674242098,0.19990039596129439,0.18266539849203342,0.09629230602502567,5,5
rx,32,20.0,12,125.0,83.96526326517018,84.17912070118628,0.25469751144675534,0.09027008239343867,0.05545972320934713,5,5
rx,128,20.0,7,125.0,9.157339076099376,9.183376576429534,0.2843347845239874,0.14265232324823623,0.14763616695822362,5,5
rx,128,20.0,9,125.0,29.096731649386435,29.172047612727145,0.2588468156776491,0.09690699032353985,0.19292753711930172,5,5
rx,128,20.0,12,125.0,212.42403716993317,212.80557031250117,0.1796092135575078,0.06589680925582307,0.06441554534621462,5,5
tx,8,-4.0,7,125.0,1.6483050002494115,1.6412412663432574,-0.42854531807433593,0.19770299342094078,0.17026475588695575,5,5
tx,8,-4.0,9,125.0,5.790132744612691,5.768148210848228,-0.37968963293489866,0.21177919213771038,0.17997755801258639,5,5
tx,8,-4.0,12,125.0,46.228556365211944,46.04630880563189,-0.3942315614190339,0.0948463156942482,0.060339983950457324,5,5
tx,8,10.0,7,125.0,3.945595214922812,3.793178410245621,-3.862961007777188,0.06637419052094988,0.1691170157481472,5,5
tx,8,10.0,9,125.0,13.888874869085717,13.354610787468046,-3.846705270610884,0.08705807293732867,0.10604901249901161,4,4
tx,8,10.0,12,125.0,111.05571110742937,106.91632328958475,-3.7273074716890453,0.03078383195311869,0.03646200478543701,5,5
tx,8,20.0,7,125.0,9.142631731057444,8.844592168527193,-3.2598880858102697,0.3617231230813329,0.7101766692417386,5,5
tx,8,20.0,9,125.0,32.03623442486902,31.224937536712346,-2.532435233795405,0.5983713411025235,0.5500665174108864,5,5
tx,8,20.0,12,125.0,255.43065602734274,246.98079992573028,-3.308082214183383,0.19766434940606856,0.14386734189966324,5,5
tx,32,-4.0,7,125.0,3.0063623216905553,2.9945435103829925,-0.39312664419359766,0.18471601794787632,0.15234295427797848,5,5
tx,32,-4.0,9,125.0,10.436332681957625,10.395694919947685,-0.3893873762782052,0.18339309693729186,0.2581368840898133,5,5
tx,32,-4.0,12,125.0,77.13713815262118,76.92740570961381,-0.2718955460758732,0.031695823755845384,0.07531652579353088,5,5
tx,32,10.0,7,125.0,7.205052946583823,6.9318150550915085,-3.792309279585049,0.05206273998407786,0.07949431983099996,5,5
tx,32,10.0,9,125.0,25.062745403107087,24.103862887978817,-3.825927685517627,0.09602136017633887,0.07874211998649916,5,5
tx,32,10.0,12,125.0,185.64329010090682,178.7556220936474,-3.7101626476861216,0.04097549057337962,0.03792595389423207,5,5
tx,32,20.0,7,125.0,16.66629824523627,16.17101847719723,-2.9717442994913745,0.4556004500623477,0.4705113627480211,5,5
tx,32,20.0,9,125.0,57.89140512504762,56.20121476367745,-2.9195877310618013,0.5202169970168526,0.6428699565267573,5,5
tx,32,20.0,12,125.0,425.99061193403156,413.4627794441387,-2.9408705588640838,0.35849157491989314,0.3231110916208603,5,5
tx,128,-4.0,7,125.0,8.433213287371402,8.405744461586107,-0.3257219383556831,0.09962768061201636,0.159396830172705,5,5
tx,128,-4.0,9,125.0,26.67755177828974,26.58666200332588,-0.34069758619239554,0.20095370759157502,0.17195612890754441,5,5
tx,128,-4.0,12,125.0,194.84465769343876,194.0797307762226,-0.39258295622335293,0.05907612348802953,0.13420668599477475,5,5
tx,128,10.0,7,125.0,20.228773999462835,19.469495046384274,-3.75346006188374,0.03792261323483275,0.09774809285232604,5,5
tx,128,10.0,9,125.0,64.15500559459218,61.6874320272894,-3.8462681819340094,0.07912002354707516,0.061605592827869565,5,5
tx,128,10.0,12,125.0,469.1693376229494,451.585150490455,-3.7479403964429614,0.02681141464064452,0.06178012911768972,5,5
tx,128,20.0,7,125.0,46.66815952132294,45.404379601460924,-2.7080131996304435,0.5694896941930466,0.5171056637388337,5,5
tx,128,20.0,9,125.0,147.93604003518362,143.5889928533995,-2.938463933974611,0.38923412543331753,0.46199379411696245,5,5
tx,128,20.0,12,125.0,1081.9253309993562,1048.3466931008547,-3.1036003073784624,0.22489030363269683,0.17653088034319997,5,5
